Song Name,Artist,Time of Day,Date
"NUMB","XXXTENTACION","afternoon","08-07-2025"
"NUMB","XXXTENTACION","afternoon","08-07-2025"
"Phir Bhi Tumko Chaahunga","Mithoon, Manoj Muntashir, Arijit Singh, Shashaa Tirupati","afternoon","08-07-2025"
"Weightless","Martin Garrix, Arijit Singh","afternoon","08-07-2025"
"Haule Haule","Salim–Sulaiman, Sukhwinder Singh, Jaideep Sahni","afternoon","08-07-2025"
"Haule Haule","Salim–Sulaiman, Sukhwinder Singh, Jaideep Sahni","afternoon","08-07-2025"
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix","Lana Del Rey, Cedric Gervais","afternoon","08-07-2025"
"drivers license","Olivia Rodrigo","afternoon","08-07-2025"
"Manwa Laage","Shreya Ghoshal, Arijit Singh","afternoon","08-07-2025"
"Kukkad","Vishal-Shekhar, Shahid Mallya, Nisha Mascarenhas, Marianne D'Cruz Aiman","afternoon","08-07-2025"
"Blank Space","Taylor Swift","afternoon","08-07-2025"
"Blank Space","Taylor Swift","afternoon","08-07-2025"
"Gallan Goodiyaan","Yashita Sharma, Manish Kumar Tipu, Farhan Akhtar, Shankar Mahadevan, Sukhwinder Singh","afternoon","08-07-2025"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson, Bruno Mars","afternoon","08-07-2025"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson, Bruno Mars","afternoon","08-07-2025"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson, Bruno Mars","afternoon","08-07-2025"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson, Bruno Mars","afternoon","08-07-2025"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson, Bruno Mars","afternoon","08-07-2025"
"Vele","Vishal-Shekhar, Vishal Dadlani, Shekhar Ravjiani","afternoon","08-07-2025"
"Vele","Vishal-Shekhar, Vishal Dadlani, Shekhar Ravjiani","afternoon","08-07-2025"
"Sheila Ki Jawani","Vishal-Shekhar, Sunidhi Chauhan, Vishal Dadlani","afternoon","08-07-2025"
"Sheila Ki Jawani","Vishal-Shekhar, Sunidhi Chauhan, Vishal Dadlani","afternoon","08-07-2025"
"Sheila Ki Jawani","Vishal-Shekhar, Sunidhi Chauhan, Vishal Dadlani","afternoon","08-07-2025"
"Chammak Challo","Vishal-Shekhar, Akon, Hamsika Iyer, Vishal Dadlani, Niranjan Iyengar","afternoon","08-07-2025"
"Ek Main Aur Ekk Tu","Benny Dayal, Anushka Manchanda, Amit Trivedi","evening","10-07-2025"
"Ek Main Aur Ekk Tu","Benny Dayal, Anushka Manchanda, Amit Trivedi","evening","10-07-2025"
"Die For You","The Weeknd","evening","10-07-2025"
"Snowman - Sped Up Version","Sia, sped up nightcore","evening","10-07-2025"
"Blue Eyes","Yo Yo Honey Singh","evening","10-07-2025"
"Blue Eyes","Yo Yo Honey Singh","evening","10-07-2025"
"Baby","Justin Bieber, Ludacris","evening","10-07-2025"
"Excuse Me Girl (Ambarsariya)","Arjun, Rekha Sawhney, Reality Raj, Ram Sampath","evening","10-07-2025"
"DJ Got Us Fallin' In Love (feat. Pitbull)","USHER, Pitbull","evening","10-07-2025"
"Timber","Pitbull, Kesha","evening","10-07-2025"
